5.15370957565E+03 1.35652495083E-02 3.600000000000E+04 5.21450291926E-09 -1.65397401740E+00
5.15358132362E+03 1.92844846751E-02 3.600000000000E+04 5.63094883733E-09 -5.43438066960E-01
5.15367747307E+03 6.27635349520E-03 3.600000000000E+04 5.25379029170E-09 -2.44721130925E+00
5.15369424057E+03 1.81090424303E-03 3.600000000000E+04 4.07945563999E-09 -1.16965322635E+00
5.15355245400E+03 2.09479941987E-03 3.600000000000E+04 4.25767734935E-09 -2.89142975897E-01
5.15368381500E+03 1.12180525903E-02 3.600000000000E+04 4.28839291449E-09 3.03839614183E+00
5.15368324661E+03 7.74502486456E-03 3.600000000000E+04 4.30267910190E-09 3.42355656967E-01
5.153764709470E+03 4.072350449860E-03 3.600000000000E+04 3.935878230840E-09 5.493558895060E-02
5.153595504760E+03 4.435339593330E-03 3.600000000000E+04 4.910561687460E-09 2.417386757400E+00
5.153712852480E+03 6.599607993850E-03 3.600000000000E+04 3.804086823320E-09 -2.193214018570E+00
